id	name	path
TO:0000439	fungal disease resistance	fungal disease resistance
		
		
		
		
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
		
		
TO:0000207	plant height	plant height
TO:0002748	ligule morphology trait	ligule morphology trait
		
		
		
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0002667	abscisic acid content	abscisic acid content
TO:0000043	root morphology trait	root morphology trait
TO:0000300	glucose content	glucose content
TO:0006002	proline content	proline content
TO:0000328	sucrose content	sucrose content
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000179	biotic stress trait	biotic stress trait
TO:0000280	seedling vigor	seedling vigor
TO:0012011	leaf senescence rate	leaf senescence rate
TO:0000835	leaf sheath morphology trait	leaf sheath morphology trait
TO:0002746	fruit weight	fruit weight
TO:0000676	style color	style color
		
		
TO:0011009	style length	style length
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000430	germination rate	germination rate
TO:0000056	stem color	stem color
TO:0000522	stomatal conductance	stomatal conductance
TO:0000347	weed damage	weed damage
TO:0000347	weed damage	weed damage
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000148	viral disease resistance	viral disease resistance
TO:0000439	fungal disease resistance	fungal disease resistance
TO:0000795	tassel inflorescence color	tassel inflorescence color
TO:0000394	drought related trait	drought related trait
TO:0000813	tassel branch number	tassel branch number
TO:0000812	tassel branch dry weight	tassel branch dry weight
TO:0000788	tassel inflorescence morphology trait	tassel inflorescence morphology trait
TO:0000788	tassel inflorescence morphology trait	tassel inflorescence morphology trait
TO:0000798	tassel inflorescence length	tassel inflorescence length
TO:0000795	tassel inflorescence color	tassel inflorescence color
TO:0000795	tassel inflorescence color	tassel inflorescence color
TO:0000788	tassel inflorescence morphology trait	tassel inflorescence morphology trait
TO:0000788	tassel inflorescence morphology trait	tassel inflorescence morphology trait
TO:0000439	fungal disease resistance	fungal disease resistance
		
TO:0012002	leaf chlorophyll content	leaf chlorophyll content
